parameter,median,percentile_16,percentile_84
0-theta_E,1.50005578078717,1.4992475347909167,1.5008377449340522
1-e1,-0.05110833528871449,-0.05431555962851235,-0.047874167805448384
2-e2,-0.003574343547379953,-0.006419058759552083,-0.0009290329048341401
3-gamma1,0.05074901701270718,0.04901350333377008,0.05251191034208622
4-gamma2,0.04771309112930229,0.046254447797648666,0.04917684040936935
5-R_sersic,0.30200880474199565,0.3001076398678517,0.3039723703099392
6-n_sersic,1.0224166993258867,1.0111023284798237,1.033697582531124
7-e1,0.04850806951311403,0.04411419411355532,0.05285335058521312
8-e2,0.049937500601666004,0.04633602389996189,0.053395113044238184
9-center_x,0.002229715548098786,0.0011283007588305512,0.003354190084526289
10-center_y,0.3008286542490591,0.299901433121756,0.301771821982798
