lens_id,thetaE_lens_truth,e1_lens_truth,e2_lens_truth,phi_lens_truth,q_lens_truth,re_src_truth,q_src_truth,magnitude_src_truth,phi_src_truth,thetaE_lens_16,thetaE_lens_50,thetaE_lens_84,e1_lens_16,e1_lens_50,e1_lens_84,e2_lens_16,e2_lens_50,e2_lens_84,phi_lens_16,phi_lens_50,phi_lens_84,q_lens_16,q_lens_50,q_lens_84,re_src_16,re_src_50,re_src_84,q_src_16,q_src_50,q_src_84,magnitude_src_16,magnitude_src_50,magnitude_src_84,phi_src_16,phi_src_50,phi_src_84
0,1.0464007680331289,-0.1754009872674942,-1.5334041592041103e-08,90.0,0.7015469696960679,0.2928824722695406,0.4602755538129948,22.6847,42.02448902112542,1.0291877407372687,1.0412500034850058,1.0552553765134391,-0.19064120915896607,-0.17727393091691487,-0.16422536212505973,-0.03125547931678593,-0.012171038337674227,0.0035208488728519604,89.44476107557988,91.9488525390625,94.96209996237172,0.6789569647021331,0.6983015537261963,0.7174493350927131,0.2820228359786541,0.3042393731056833,0.32890893011339234,0.4397023104251771,0.4646960496902466,0.494287521278675,22.569499717259013,22.654251098632812,22.7530469968746,40.05978390419017,42.23811340332031,44.929969950160796
1,2.344815343673804,-0.1710667610168457,-1.4955130467342315e-08,90.0,0.7078445579524737,0.46730357087280283,0.7318566890752249,22.3777,6.731815007683433,2.331851610765542,2.348629089814239,2.372314562506691,-0.1800266661328028,-0.1692228140818462,-0.15747475973493938,-0.014223933268565718,-0.0006916826658797155,0.015821261671433683,87.2657361711369,90.1197738647461,92.44061019524177,0.6947567737255734,0.710452675819397,0.7278030244663984,0.43083709344463744,0.4616022196967651,0.49475751374026966,0.694900396735144,0.7386558055877686,0.7965720533415823,22.28307159162572,22.365859985351562,22.451877516429224,0.721667365312462,5.153608322143555,179.63991888354153
2,0.6623352598297512,-0.19149857759475708,-1.674133720541704e-08,90.0,0.6785584546518821,0.39882095278360347,0.6190569725866231,22.146,97.53768186935166,0.6438115896803108,0.6590553710076592,0.6756789384213211,-0.23053591316682986,-0.1932727852588455,-0.15160979912037148,-0.05841712159851957,-0.0070946765839720064,0.02986749502315581,85.51713191151441,91.04768371582031,98.51348180192433,0.6245671961142044,0.6752127408981323,0.7363236588483554,0.3587737117875513,0.39113561323578816,0.43779341232700125,0.5807611109643075,0.6386377811431885,0.7141086512316775,21.969623665950948,22.140758514404297,22.321651427205325,91.20496737879681,97.16270446777344,103.89104143201
3,1.1740461876430681,-0.10848281532526016,-9.483868801396511e-09,90.0,0.8042679353686851,0.19950420647281505,0.8185236735616387,22.0012,49.83475778755342,1.159950300023049,1.1699808720668927,1.1795018092442375,-0.1374651393363166,-0.11680192691153356,-0.10092559264562616,-0.022982763372181053,-0.0066830428263226,0.009311491942522537,87.42545086996728,91.62169647216797,94.95427857173782,0.755643526981369,0.7903696894645691,0.8165352135822198,0.18823538242977988,0.19783573631598897,0.20892902622507248,0.779291782794915,0.8246607780456543,0.8785807099718527,21.923448192520677,21.986515045166016,22.05508974672935,44.87421715774268,53.434173583984375,62.15945838003173
4,1.067641360348095,-0.20942634344100952,-1.8308632832031435e-08,90.0,0.6536765617499116,0.36730639316348507,0.5509385897949917,22.6404,36.98053609316186,1.055328998581367,1.0674333798240752,1.0827179579604234,-0.22246232990637702,-0.20004468145624646,-0.17643200575815243,-0.02027234168707434,-0.0003335031343114221,0.01807829430537919,87.42213019407565,90.04924011230469,92.99416134523209,0.6359584138942368,0.6664659976959229,0.7000414509927091,0.3424004300965131,0.3871120898072863,0.42485719701916724,0.5361089334536455,0.566764771938324,0.6156569832354803,22.473628997802734,22.584365844726562,22.720499722740776,33.27424017702608,36.12800216674805,39.74907469555623
5,2.088929721195821,-0.08192513883113861,-7.16212289475493e-09,90.0,0.8485567345368819,0.5379361255131272,0.21204356175441752,22.9915,55.50093691871975,2.075268726164194,2.095326324965509,2.1143542057018836,-0.08674751908179928,-0.07712139463402853,-0.06798221346175123,-0.025963306277405587,-0.0068283093326107205,0.00808391856446617,87.13671399279083,92.61497497558594,99.71998164994805,0.8399730341746011,0.8560197353363037,0.8689386021372608,0.4853017317246153,0.5522500111297632,0.6422647957837617,0.18401768477223127,0.21256744861602783,0.231788030117342,22.777500898196507,22.952945709228516,23.12555460663107,53.160260423583814,54.583648681640625,56.277827559464924
6,1.0255772794024218,-0.23523366451263428,-2.0564780101040014e-08,90.0,0.6191268584245492,0.4372501996440606,0.7391823486557833,22.6847,134.6702737143547,0.9973728035901215,1.0147047416139605,1.0306089205881552,-0.257914464241466,-0.22781499436300295,-0.20270089739904712,-0.027050753955617388,-0.0018620264482706794,0.022841267209912097,87.17553127306809,90.2310791015625,93.48136099787415,0.5899305601840211,0.6287373304367065,0.6628211759379813,0.4009282970085091,0.4355241518730478,0.48908905354942905,0.7242265737511719,0.7790091037750244,0.8414286451035581,22.49397983667033,22.660503387451172,22.799140141287268,126.80704347061477,136.26544189453125,146.6186276064496
7,1.0542071536364526,-0.11296671628952026,-9.875863682395902e-09,90.0,0.796998926810696,0.42562591354388585,0.8230000311397272,22.3777,75.79672097904132,1.0257000256744842,1.051532810141835,1.0758969079613079,-0.14208973115726697,-0.10847452091330667,-0.07402772668493011,-0.03501052160591446,-0.003365721402737106,0.029246956208478295,82.02084257705876,90.83518981933594,100.48332199094692,0.7502592565713349,0.8029113411903381,0.861283866927378,0.37786308893614107,0.4077878606105134,0.4506055201303263,0.7775058150291443,0.828974723815918,0.8961810625763398,22.273648096771463,22.405771255493164,22.524608612060547,63.410117614114654,74.67398071289062,86.41015938444117
8,1.3521811148841985,-0.06434404850006104,-5.625135468534381e-09,90.0,0.879091639873467,0.8272426593035027,0.801186688050174,21.7984,60.969297468395574,1.3097217902394067,1.3525469256688538,1.3887191051642895,-0.11417635717228122,-0.07612541482734239,-0.026082831551343798,-0.04502054218247482,0.0005433295875029029,0.03381741544239229,75.72294817189123,89.75582885742188,104.43176025365773,0.7939510316428066,0.8560773730278015,0.9437185442580736,0.6900491374528753,0.7795909595384607,0.8879365339156355,0.7728092793786976,0.8387880325317383,0.9187614076375509,21.637509423889984,21.872364044189453,22.062750460155595,45.06463741402842,62.82823181152344,80.15473359437064
9,1.6232246917243498,-0.16858254373073578,-1.473795396833566e-08,90.0,0.7114751529247293,0.31624964292571156,0.8180891631489817,22.6847,47.23043199027291,1.6058813911329692,1.6173625344447455,1.628080381091782,-0.17532935065057154,-0.16380585729415326,-0.15413469339490327,-0.0066968326069993585,0.00588143481615602,0.02029405375098502,86.46352954277889,88.9717788696289,91.19316463240762,0.7013263702392578,0.7181724309921265,0.7326512346615113,0.29401649607512936,0.3103387963914704,0.3322237167900285,0.7624261831692866,0.8095451593399048,0.8517045512707142,22.617062524351287,22.68433952331543,22.736134243405377,38.38851217264257,46.9288330078125,54.364094580223046
