# theta_E,gamma1,gamma2,source_x,source_y
9.113990664482116699e-01,1.388988047838211060e-01,-5.487638711929321289e-02,8.416914939880371094e-02,-2.875989377498626709e-01
1.132534980773925781e+00,-1.720376461744308472e-01,-5.015434324741363525e-02,-1.118993014097213745e-01,-2.776897847652435303e-01
7.227432727813720703e-01,4.507002234458923340e-02,5.035151541233062744e-02,-3.794991970062255859e-02,-2.493586838245391846e-01
8.659045696258544922e-01,-7.651751488447189331e-02,2.925443649291992188e-02,2.870268821716308594e-01,-2.505207061767578125e-02
1.003876447677612305e+00,-9.969057142734527588e-02,1.489135622978210449e-02,-8.319348096847534180e-03,2.903334498405456543e-01
1.479372859001159668e+00,-1.982856541872024536e-01,-6.870523095130920410e-02,-2.278896570205688477e-01,-2.789855897426605225e-01
1.088010191917419434e+00,-7.172971963882446289e-03,7.119955122470855713e-02,2.415501475334167480e-01,-1.607013791799545288e-01
1.542416334152221680e+00,5.572859942913055420e-02,-3.292630612850189209e-02,-2.580969929695129395e-01,2.251408696174621582e-01
1.273063182830810547e+00,6.674008071422576904e-02,7.854278385639190674e-02,1.909706890583038330e-01,7.559844851493835449e-02
1.283910036087036133e+00,-1.553063839673995972e-01,1.300162225961685181e-01,-2.452965676784515381e-01,-1.100606769323348999e-01
1.575613975524902344e+00,1.362375915050506592e-02,5.721993744373321533e-02,8.696821331977844238e-02,-1.674448102712631226e-01
1.324895381927490234e+00,9.911508858203887939e-02,1.818888038396835327e-01,1.599336564540863037e-01,2.894846796989440918e-01
1.318656206130981445e+00,1.350471377372741699e-02,-6.764547526836395264e-02,-2.710580527782440186e-01,-3.743603825569152832e-02
1.335513114929199219e+00,-1.867653876543045044e-01,-1.859492212533950806e-01,-1.992998719215393066e-01,-2.994022965431213379e-01
7.806414961814880371e-01,1.152539253234863281e-02,-8.338844031095504761e-02,-2.335576415061950684e-01,-1.350026726722717285e-01
