parameter,median,percentile_16,percentile_84
0-theta_E,1.5004011044138208,1.4996362382918897,1.5012092502406928
1-e1,-0.05299173685786672,-0.05622335268925781,-0.04977625143960851
2-e2,-5.475579290597503e-05,-0.0028870550126152243,0.0027969337081217046
3-gamma1,0.05002707568617254,0.04822444719748036,0.051774671097428435
4-gamma2,0.05028337291939006,0.04883445956288501,0.051788446071524594
5-R_sersic,0.2988877325473261,0.2969713556740231,0.30083019082899
6-n_sersic,0.9942636873932359,0.9827901127779363,1.0051656170227683
7-e1,0.04822434202877315,0.04392646350707372,0.052547777517028924
8-e2,0.04895591252750579,0.04537665442668265,0.05253988437213582
9-center_x,-0.00043816285469053365,-0.0015453766898694953,0.0007162538910160434
10-center_y,0.3008417500081614,0.2999065464157977,0.30177733513168464
